"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-11","Greater Sudbury, Ontario","2021S0503580","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713401","28.8.1.1","6.0","","","","1"
"2025-12","Greater Sudbury, Ontario","2021S0503580","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713401","28.8.1.1","6.0","","","","1"
"2026-01","Greater Sudbury, Ontario","2021S0503580","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713401","28.8.1.1","6.4","","","","1"
"2026-02","Greater Sudbury, Ontario","2021S0503580","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713401","28.8.1.1","6.1","","","","1"
"2025-10","Thunder Bay, Ontario","2021S0503595","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713671","29.8.1.1","5.0","","","","1"
"2025-11","Thunder Bay, Ontario","2021S0503595","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713671","29.8.1.1","4.4","","","","1"
"2025-12","Thunder Bay, Ontario","2021S0503595","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713671","29.8.1.1","4.2","","","","1"
"2026-01","Thunder Bay, Ontario","2021S0503595","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713671","29.8.1.1","4.8","","","","1"
"2026-02","Thunder Bay, Ontario","2021S0503595","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713671","29.8.1.1","5.7","","","","1"
"2025-10","Winnipeg, Manitoba","2021S0503602","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713941","30.8.1.1","6.8","","","","1"
"2025-11","Winnipeg, Manitoba","2021S0503602","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713941","30.8.1.1","6.0","","","","1"
"2025-12","Winnipeg, Manitoba","2021S0503602","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713941","30.8.1.1","5.7","","","","1"
"2026-01","Winnipeg, Manitoba","2021S0503602","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713941","30.8.1.1","5.9","","","","1"
"2026-02","Winnipeg, Manitoba","2021S0503602","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713941","30.8.1.1","5.9","","","","1"
"2025-10","Regina, Saskatchewan","2021S0503705","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714211","31.8.1.1","6.2","","","","1"
"2025-11","Regina, Saskatchewan","2021S0503705","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714211","31.8.1.1","6.3","","","","1"
"2025-12","Regina, Saskatchewan","2021S0503705","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714211","31.8.1.1","6.3","","","","1"
"2026-01","Regina, Saskatchewan","2021S0503705","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714211","31.8.1.1","6.9","","","","1"
"2026-02","Regina, Saskatchewan","2021S0503705","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714211","31.8.1.1","7.0","","","","1"
"2025-10","Saskatoon, Saskatchewan","2021S0503725","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714481","32.8.1.1","5.5","","","","1"
"2025-11","Saskatoon, Saskatchewan","2021S0503725","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714481","32.8.1.1","5.2","","","","1"
"2025-12","Saskatoon, Saskatchewan","2021S0503725","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714481","32.8.1.1","5.8","","","","1"
"2026-01","Saskatoon, Saskatchewan","2021S0503725","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714481","32.8.1.1","5.7","","","","1"
"2026-02","Saskatoon, Saskatchewan","2021S0503725","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714481","32.8.1.1","5.8","","","","1"
"2025-10","Lethbridge, Alberta","2021S0503810","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714751","33.8.1.1","8.3","","","","1"
"2025-11","Lethbridge, Alberta","2021S0503810","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714751","33.8.1.1","7.6","","","","1"
"2025-12","Lethbridge, Alberta","2021S0503810","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714751","33.8.1.1","7.2","","","","1"
