"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2026-02","Winnipeg, Manitoba","2021S0503602","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713995","30.10.1.1","63.0","","","","1"
"2025-10","Regina, Saskatchewan","2021S0503705","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714265","31.10.1.1","65.3","","","","1"
"2025-11","Regina, Saskatchewan","2021S0503705","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714265","31.10.1.1","65.0","","","","1"
"2025-12","Regina, Saskatchewan","2021S0503705","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714265","31.10.1.1","65.0","","","","1"
"2026-01","Regina, Saskatchewan","2021S0503705","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714265","31.10.1.1","64.6","","","","1"
"2026-02","Regina, Saskatchewan","2021S0503705","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714265","31.10.1.1","64.7","","","","1"
"2025-10","Saskatoon, Saskatchewan","2021S0503725","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714535","32.10.1.1","67.3","","","","1"
"2025-11","Saskatoon, Saskatchewan","2021S0503725","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714535","32.10.1.1","67.3","","","","1"
"2025-12","Saskatoon, Saskatchewan","2021S0503725","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714535","32.10.1.1","66.5","","","","1"
"2026-01","Saskatoon, Saskatchewan","2021S0503725","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714535","32.10.1.1","65.9","","","","1"
"2026-02","Saskatoon, Saskatchewan","2021S0503725","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714535","32.10.1.1","65.0","","","","1"
"2025-10","Lethbridge, Alberta","2021S0503810","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714805","33.10.1.1","61.9","","","","1"
"2025-11","Lethbridge, Alberta","2021S0503810","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714805","33.10.1.1","62.6","","","","1"
"2025-12","Lethbridge, Alberta","2021S0503810","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714805","33.10.1.1","62.3","","","","1"
"2026-01","Lethbridge, Alberta","2021S0503810","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714805","33.10.1.1","61.7","","","","1"
"2026-02","Lethbridge, Alberta","2021S0503810","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642714805","33.10.1.1","60.8","","","","1"
"2025-10","Calgary, Alberta","2021S0503825","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642715075","34.10.1.1","64.7","","","","1"
"2025-11","Calgary, Alberta","2021S0503825","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642715075","34.10.1.1","64.6","","","","1"
"2025-12","Calgary, Alberta","2021S0503825","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642715075","34.10.1.1","64.5","","","","1"
